timestamp,accelerometer_x,accelerometer_y,accelerometer_z,magnetometer_x,magnetometer_y,magnetometer_z,gyroscope_x,gyroscope_y,gyroscope_z
1710733426633,9.459491,-17.666815,17.056293,5.52,36.78,-4.92,1.2074772,-3.5894086,-0.44474792
1710733426738,-6.232107,-12.962208,6.2704144,-2.3999999,36.84,-8.58,-0.8452873,0.86499476,-4.5279064
1710733426843,-18.31325,-9.078813,19.27093,-16.56,31.56,-13.74,0.6428871,16.753414,-1.6399746
1710733426947,3.6032736,-4.807557,2.743755,7.8599997,29.82,-20.699999,-0.20612867,1.2362394,2.6477149
1710733427051,1.2138603,-78.450806,-34.682407,16.02,27.48,-22.38,-0.44581318,7.21184,-0.2130529
1710733427156,1.8746599,-20.295649,-1.0773908,22.5,26.099998,-17.46,-2.6253443,1.0626013,-0.07456851
1710733427261,6.0860605,-6.05733,0.5770026,18.0,29.22,-15.78,-0.67324716,-11.998074,2.326005
1710733427366,1.2569559,-6.813898,0.51954174,-1.8,31.439999,-21.0,-3.6911414,-6.314355,-3.8983352
1710733427471,43.84023,-44.436382,25.40248,-9.78,35.94,-0.9,4.4048686,2.7723508,-5.123922
1710733427576,-7.1059904,-17.331627,6.4188547,-2.28,36.66,-7.3199997,-1.1478225,0.8873653,-0.65460503
1710733427681,0.62249243,-14.159308,-4.0438066,-8.58,35.94,0.71999997,-2.4644892,-6.147641,1.9765981
1710733427784,6.6726403,-2.3582888,-3.040636,7.2599998,33.48,13.08,-3.3273535,-4.3990097,0.91985583
1710733427882,-0.8355764,-7.8888946,-3.4955344,14.639999,25.98,22.8,-3.5398738,-5.191034,1.4295849
1710733427982,-9.844957,-5.3247046,-12.847286,29.46,17.699999,16.68,-1.2708606,-1.1334413,1.4226607
1710733428091,2.3942018,-26.771963,12.313379,23.64,18.72,22.68,-1.2016183,3.9372175,-6.3777385
1710733428201,8.942344,-6.813898,15.622166,-5.7,29.699999,22.14,4.0842237,4.9103365,3.3284187
1710733428307,10.041282,-6.5026517,-2.765303,-0.78,36.12,1.02,3.7747645,8.293616,0.26684874
1710733428414,-11.693281,-16.417042,-10.357317,1.92,36.899998,-6.12,-0.3685815,2.4000409,0.32330775
1710733428515,-0.92416185,-17.357962,4.63278,-6.12,35.76,-5.64,-1.387507,2.5102956,-4.495949
1710733428622,6.9383965,0.4189853,16.024391,-11.04,31.679998,-16.98,0.6775082,11.822305,0.072970614
1710733428725,2.5929205,4.213795,4.84347,11.58,28.019999,-22.02,0.18961707,1.0327739,3.1356058
1710733428833,9.959879,-73.79648,-53.53435,18.84,27.06,-21.0,-1.355549,5.7098174,-0.23382555
1710733428938,2.054225,-3.6750996,6.227319,21.779999,27.96,-16.08,-0.8181231,-2.8969867,0.4261058
1710733429043,-4.6782703,-10.160992,3.0238767,9.059999,30.599998,-21.18,-0.63702816,-5.815811,-3.6469328
1710733429145,11.501745,-8.585608,-1.448492,-5.1,32.16,-20.1,0.7499462,1.0125339,-0.55340487
1710733429250,-3.8618474,-8.851364,3.5458126,-5.2799997,29.76,-22.619999,-0.4628574,-0.3930826,-0.08948222
1710733429358,-1.8746599,-9.495404,-0.6488287,-8.099999,31.56,-20.16,-0.45699844,0.044208474,-1.0897655
1710733429462,0.37588966,-9.294291,0.079008654,-12.0,31.32,-18.84,-0.46552056,0.35739622,-0.82877576
1710733429569,-1.4676456,-10.25676,-0.04309563,-14.759999,30.96,-17.279999,-0.68656296,0.8229168,-1.1973573
1710733429673,-3.8259344,-10.512939,-0.2681506,-19.38,30.599998,-15.719999,-0.44208476,3.2250881,-1.587244
1710733429778,-5.1690817,-9.969456,3.3039982,-9.3,28.92,-24.06,0.34674358,4.991297,2.1539648
1710733429883,-1.3192052,-8.714894,2.0973208,7.8599997,26.699999,-26.279999,0.39254996,0.20719394,3.2884715
1710733429988,20.11369,-9.710882,2.9137435,17.52,23.34,-26.279999,-0.20240025,-1.2921658,-1.5845809
1710733430093,-5.351041,-6.9264255,-6.054936,9.059999,29.099998,-24.24,-0.3637878,0.55606806,-1.603223
1710733430198,1.8219875,-9.0716305,-0.05267244,5.8799996,30.42,-24.66,0.34834146,-0.19014971,0.099069595
1710733430304,1.0366893,-9.227253,1.0630256,6.66,28.98,-25.08,0.31957933,-0.6897587,1.8130801
1710733430408,-4.000711,-34.105404,-0.14844051,15.36,22.92,-27.599998,-0.2876214,0.077231675,3.9457395
1710733430516,-3.9576154,-8.477868,-2.0278888,25.32,16.56,-25.92,-2.372344,-4.9827743,1.8881812
1710733430615,-1.8291701,-2.7126305,3.0550013,9.96,22.5,-31.199999,-4.231763,-3.625095,-1.5313177
1710733430725,-2.6527755,-7.9846625,18.830397,-8.639999,34.5,-11.759999,-3.163303,-12.489693,-0.2247708
1710733430829,9.452309,-13.038822,1.6927006,-10.62,35.399998,5.22,-0.18748654,0.16831179,-2.0804615
1710733430934,3.2848446,-9.239224,3.0334535,-17.64,33.3,4.62,0.624245,-0.38296258,-0.8245147
1710733431039,-0.50757074,-9.706094,1.9440918,-18.06,32.1,3.36,-0.022903185,-0.5571333,0.36804888
1710733431144,-0.81402856,-9.809045,1.3982137,-18.06,32.64,4.98,-0.10705908,-0.4415521,-0.07190535
1710733431248,0.78769237,-9.9790325,2.2409728,-17.94,33.42,6.96,-0.5320996,-0.07882957,0.8223842
1710733431352,-2.779668,-11.398794,1.0199299,-11.16,34.739998,8.76,-0.28975195,0.4261058,1.1350393
1710733431459,-2.6431987,-11.197681,-4.235343,-9.78,34.26,9.3,0.03355583,0.035153728,-0.56245965
1710733431564,-1.1133038,-11.252748,-5.6407394,-11.04,34.739998,9.599999,1.0727214,-1.5579493,-0.041545313
1710733431668,-5.595249,-7.627927,-0.7445967,-5.64,35.579998,9.84,-0.59867865,2.7601001,0.9672601
1710733431775,0.11971009,-5.3582234,5.985504,-9.9,35.1,9.36,0.73130405,4.6008773,-1.6378441
1710733431883,-10.177752,-8.248025,1.364695,-11.94,34.8,4.44,0.97418433,0.8447547,0.26045716
1710733431985,-2.2649148,-9.651027,0.37588966,-12.0,34.739998,1.14,0.29987195,0.0958738,0.11717909
1710733432091,-2.3008277,-9.471462,1.8674773,-12.42,34.68,0.53999996,-0.108124346,0.21358553,-0.49428272
1710733432197,-1.8219875,-9.526528,0.5386954,-14.7,33.96,1.26,-0.47031426,0.19014971,-0.18961707
1710733432302,-2.030283,-9.742006,0.30406362,-14.4,35.04,3.36,-0.6764429,0.3920173,0.340352
1710733432406,-2.408567,-13.618219,4.213795,-15.12,33.36,6.66,-1.1536814,4.0788975,-1.3507553
1710733432511,6.3087215,-12.428301,11.247959,-18.359999,31.679998,-10.5,1.7859159,9.954896,1.0077401
1710733432617,-3.2872388,-7.81228,3.4332852,2.76,27.9,-25.26,2.0644825,3.1478565,2.9683595
1710733432719,5.427655,-6.4499793,1.1683705,19.08,22.38,-25.32,0.0127831735,0.77870834,0.027164243
1710733432825,7.819463,-28.376078,0.22505496,12.179999,25.98,-25.859999,-1.2809805,0.21092236,-3.5079157
1710733432933,4.88896,-7.529764,4.7884035,5.52,29.16,-23.279999,0.5581986,0.78936094,-0.89162636
1710733433039,1.0151415,-9.902418,2.2242134,5.1,28.619999,-25.38,0.4708469,0.020772656,-0.0063915867
1710733433142,0.39504328,-9.41879,1.4341269,6.18,27.0,-27.24,0.51505536,-0.73769563,1.3358417
1710733433246,-0.6823475,-9.962274,1.5346833,10.92,24.119999,-29.519999,0.2972088,-0.041012682,2.4090955
1710733433351,4.793192,-20.35311,2.9879637,19.5,19.26,-28.56,-1.407747,-0.041545313,3.7800908
1710733433457,9.074024,-4.6806645,4.9224787,21.0,16.92,-29.46,-3.2650356,-5.8211374,1.0295781
1710733433563,0.78050977,-4.9655743,5.542577,7.9199996,28.56,-23.64,-4.4453487,-2.9465215,-2.6684875
1710733433668,-6.6391215,-11.7627125,11.999739,-9.42,36.3,-2.76,-4.059723,-11.451592,-0.32011196
1710733433774,-9.964667,-4.5202527,-4.7141833,-7.5,35.219997,8.639999,-0.05006743,-0.44474792,-0.3190467
1710733433879,-0.89782566,-9.478644,2.6384103,-9.9,35.04,5.94,0.123038046,0.053263225,-0.91133374
1710733433984,-0.79966336,-9.43076,0.47405192,-13.08,33.54,6.6,0.39148468,-0.5086638,-0.87138635
